HDFC Index,IDFC,LIC,Nippon,Tata,Sensex
-0.000918971,-0.000905181,-0.000873795,-0.000900657,-0.000890563,-0.000928573
0.000681212,0.000676427,0.000704511,0.000684211,0.000692104,0.000680063
0.003207857,0.003196928,0.003253668,0.003195369,0.003210364,0.003215023
0.001923938,0.001911752,0.001984806,0.001924368,0.001948436,0.001917475
-0.003095124,-0.00309328,-0.003078866,-0.003063592,-0.003085454,-0.003110828
0.002111726,0.002104915,0.002133377,0.002104831,0.002112858,0.002117262
0.002667768,0.002656495,0.00269363,0.002671814,0.002671092,0.002675069
0.000716148,0.000705533,0.000785392,0.00074141,0.000747429,0.00070505
0.001407603,0.001389382,0.001416497,0.001404913,0.001399262,0.001398433
-0.000254134,-0.00025359,-0.000232556,-0.000248078,-0.000240943,-0.0002587
-0.001260814,-0.001253067,-0.001246667,-0.00125335,-0.001248322,-0.001268613
0.000844213,0.000833254,0.00085829,0.00085128,0.000841157,0.000843506
-0.004252869,-0.004252113,-0.004205263,-0.004233826,-0.004221567,-0.004275788
-0.004170638,-0.004156022,-0.004158691,-0.004124781,-0.004155828,-0.004188561
-0.002735048,-0.002728898,-0.002728013,-0.002703703,-0.002718335,-0.002748625
0.001496778,0.001485419,0.001518635,0.001496037,0.001495571,0.001495844
0.001610674,0.001616262,0.001651267,0.001608001,0.001631119,0.001613208
-2.62E-05,-2.45E-05,3.98E-05,-5.93E-06,1.20E-05,-4.04E-05
0.000387723,0.000381057,0.000407973,0.000712611,0.000387794,0.000383064
-0.003318454,-0.003332215,-0.003331483,-0.003315558,-0.003310224,-0.003348847
0.003844368,0.003852378,0.003865083,0.003868636,0.003866787,0.003872149
-0.00096066,-0.000965542,-0.000907981,-0.00094219,-0.000935385,-0.000978499
-9.90E-05,-0.000103996,-8.75E-05,-9.20E-05,-9.21E-05,-0.000103024
-0.004504564,-0.004511364,-0.004509198,-0.00451213,-0.004518135,-0.004545232
-3.68E-05,-2.79E-05,-2.01E-05,-2.94E-05,-1.95E-05,-4.03E-05
0.000900512,0.000899249,0.000932453,0.000905687,0.000904697,0.000902949
-0.001902042,-0.001901034,-0.001849025,-0.001897422,-0.001868343,-0.001923063
-0.003682996,-0.003680601,-0.003689131,-0.003712041,-0.003692838,-0.003714842
-0.001072691,-0.001069274,-0.001046563,-0.001053539,-0.00105094,-0.001080323
0.003209327,0.003162466,0.003192633,0.003182916,0.003181663,0.003184418
-0.00041883,-0.000429466,-0.000404109,-0.000417376,-0.000418752,-0.000429733
-0.001493511,-0.001506746,-0.001461941,-0.001467842,-0.001480622,-0.001509177
0.002927074,0.002920772,0.002940377,0.002926026,0.00292679,0.002932358
0.000920727,0.00090151,0.000924848,0.000917158,0.00091931,0.000910727
-0.00634863,-0.006337901,-0.00635458,-0.006348,-0.00636788,-0.00637941
-0.004014883,-0.004015212,-0.004005402,-0.004022579,-0.003999905,-0.003911178
-0.001122104,-0.001119216,-0.00106631,-0.001106993,-0.001095719,-0.001133238
-0.000692698,-0.000688292,-0.000666619,-0.000687945,-0.000675879,-0.000699127
0.000192261,0.000194555,0.000214078,0.000196852,0.000208691,0.000189596
-0.000329515,-0.000331025,-0.000312444,-0.000322335,-0.000325928,0.000114495
-0.001876202,-0.00187189,-0.001855752,-0.001872219,-0.001866925,-0.001888576
-0.00109732,-0.001097005,-0.001093848,-0.001074724,-0.001064037,-0.000502421
0.001645664,0.001641349,0.001672873,0.001651463,0.001642866,0.001652821
-0.001112239,-0.001107923,-0.001091572,-0.001098837,-0.001089457,-0.001122486
0.000805834,0.000798251,0.000826651,0.000811792,0.000793935,0.000805137
-0.000668871,-0.000660054,-0.00065562,-0.000664306,-0.000657331,-0.000677071
0.002312101,0.002299637,0.002380502,0.00234094,0.002334622,0.002317255
-0.000323991,-0.000329246,-0.000308598,-0.000316465,-0.000314842,-0.000108785
-0.000722507,-0.000722826,-0.000708719,-0.000714762,-0.000714442,-0.000731318
0.001075804,0.00106932,0.001094689,0.001088272,0.001077565,0.001119101
0.000268486,0.00026214,0.000272788,0.000276776,0.000256437,0.000270228
-0.003495566,-0.003583724,-0.003430045,-0.003456998,-0.003495979,-0.003553733
-1.56E-05,-4.82E-05,1.72E-05,-5.66E-06,-8.21E-05,0.00019478
0.000194921,0.00039907,0.000229778,0.000198258,0.000205971,0.000192785
-0.0001981,-4.75E-05,-0.000165631,-0.000192594,-0.000179161,-9.86E-05
0.00211061,0.001972339,0.00213866,0.002114713,0.002120998,0.002122191
0.002490406,0.002320764,0.002569815,0.002539875,0.002509474,0.00251724
0.001727159,0.001791611,0.00175299,0.001740811,0.001733171,0.001742028
-0.000662058,-0.001160582,-0.000630229,-0.000640351,-0.000649016,-0.000326644
-0.000943958,-0.001016595,-0.000934956,-0.00094015,-0.000918647,-0.000901079
-0.004157988,-0.004128911,-0.004114573,-0.004129099,-0.004137744,-0.004193335
0.000166194,0.000160737,0.000180134,0.0001702,0.000187434,0.000164587
-0.000490758,-0.000486584,-0.000474466,-0.000476393,-0.00047186,-0.000497466
-0.001931699,-0.001917966,-0.001921695,-0.001897541,-0.001906205,-0.001717069
0.000123202,0.000120475,0.000149466,0.00012982,0.00013588,0.000120603
-0.00484495,-0.004814595,-0.004803934,-0.004827945,-0.004795377,-0.004888701
-0.000422362,-0.000422098,-0.000399226,-0.000418508,-0.000430009,-0.000430444
-0.000789457,-0.000787146,-0.00077021,-0.000788489,-0.000770141,-0.000789019
-0.003503611,-0.00347931,-0.003495353,-0.003496077,-0.003566774,-0.00316405
-0.000110762,-0.000110477,-9.24E-05,-0.000102157,-7.73E-05,0.000225493
-0.000749648,-0.000750552,-0.00069861,-0.000733722,-0.000720165,-0.000732186
0.004960906,0.004889726,0.00498016,0.00492528,0.004981602,0.004953886
-0.003302022,-0.003279886,-0.003290228,-0.003290641,-0.003297683,-0.003333778
0.000595819,0.000587468,0.000615159,0.000600728,0.000594573,0.000692997
-0.001673699,-0.00166467,-0.001666135,-0.001661736,-0.001677326,-0.001691306
